Tempat;y;x
Kampung Batik Kauman;-7,574234434;110,8255647
House of Danar Hadi;-7,56794277;110,8163394
Bengawan Solo Park;-7,565008695;110,8613316
Ndalem Suryohamijayan;-7,576441238;110,8260689
Taman Satwa Taru Jurug Surakarta;-7,564611522;110,8586366
Taman Makam Pahlawan Kusuma Bhakti;-7,566111119;110,8579929
Taman Cerdas Pucangsawit;-7,569807524;110,8583587
Taman Sunan Jogo Kali;-7,570041501;110,8582031
Taman Pucang Arum;-7,570137219;110,8578812
Taman Pucangsawit;-7,570791291;110,8535682
Taman Cerdas Puntadewa;-7,573141689;110,8534663
Taman Urban Forest Bengawan Solo;-7,571830947;110,847431
Lapangan Losari;-7,583672524;110,8392647
Makam Mbah Kyai Hasan Minhaj Gabudan;-7,588591166;110,8268035
Makam Kyai Hasan Minhaj;-7,588846403;110,8269
Masjid Agung Kraton Surakarta;-7,574415233;110,8267877
Alun-Alun Lor Surakarta;-7,574750243;110,8287404
Pagelaran kraton surakarta;-7,575877574;110,8284775
Benteng Vastenburg;-7,571937219;110,8307306
Bunker Kuno Zaman Belanda di Balaikota Surakarta;-7,568698764;110,8282522
Pamedan Mangkunegaran;-7,56746506;110,8226732
House Of Danar Hadi;-7,568798837;110,8163502
Museum Radya Pustaka;-7,568782884;110,8143922
Taman Sriwedari Surakarta;-7,568555328;110,8130102
Gedung Wayang Orang Sriwedari;-7,569613879;110,8120382
Museum Keris Nusantara;-7,569069308;110,8108084
Stadion Manahan;-7,555620473;110,8065137
Taman Balekambang Surakarta;-7,553057266;110,8079406
Kali Pepe;-7,550940747;110,820032
Taman Cerdas Gilingan;-7,553482695;110,8284112
Taman Jayawijaya Mojosongo;-7,537266393;110,8421004
Pura Mangkunegaran;-7,567112437;110,8227756
Pasar Gede Hardjonagoro;-7,569292782;110,8314124
Ngarsopuro Night Market;-7,568739809;110,8223325
Pasar Triwindu Solo;-7,569177061;110,8225456
Galabo Solo Night Culinary;-7,572234079;110,8297322
Pasar Klewer;-7,575239987;110,8270305
Ndalem Gondosuli;-7,570506259;110,7959415
Tumurun Private Museum;-7,570486202;110,8163524
Gatsu Corridor;-7,571710409;110,8216011
Alun-Alun Kidul Surakarta;-7,582093085;110,8264162
Dalem Kalitan;-7,564244693;110,8086803
Masjid Al-Wustho Mangkunegaran;-7,565309894;110,821392
Keraton Kasunanan Surakarta;-7,578191814;110,8276839
;;
Lokananta Recording Audio & Video Cassette;-7,557772594;110,7955262
;;
Masjid Laweyan;-7,571384056;110,7926115
Loji Gandrung;-7,567025796;110,8094971
Benteng Vastenburg;-7,57187926;110,830661
